1;PT. Dana Kini Indonesia;;02150880203;danakini@dana.co.id
2;PT Summarecon Agung Tbk;MOU;0214714567;summarecon@smc.co.id
3;PT. Pratama Abadi Industri;;0215396140;info@pratama.net
4;PT Adibrata Graha;;02153668955;adibratagraha@spo.co.id
5;Prestige Image Motorcars;;0216690444;prestigemotorcars@pm.co.id
6;PT CIPTA ARTHA NADYA (NEW CONNECTED INDONESIA);;02155695830;info@connected.co.id
7;PT Surveyor Indonesia (Persero);;62215265526;surveyorindonesia@ptsi.co.id
8;PT. BERDIKARI (Persero);;0213459955;info@berdikari-persero.co.id
9;PT. Kereta Commuter Indonesia;;0213453535;kci@krl.co.id
10;PT Kereta Api Indonesia (Persero);;0224230031;dokumen@kai.id
